Year,State ID,State,Trade Value
2015,28,Tamaulipas,1.30575E+11
2015,29,Tlaxcala,1931274259
2015,30,Veracruz de Ignacio de la Llave,9617582083
2015,31,Yucatán,8187918568
2015,32,Zacatecas,3480300860
2015,33,No Informado,1259958043
2016,1,Aguascalientes,20484811197
2016,2,Baja California,2.08818E+11
2016,3,Baja California Sur,796881106
2016,4,Campeche,694344908
2016,5,Coahuila de Zaragoza,81106021128
2016,6,Colima,447944427
2016,7,Chiapas,582447340
2016,8,Chihuahua,2.74931E+11
2016,9,Ciudad de México,5.86123E+11
2016,10,Durango,7575692462
2016,11,Guanajuato,55143915827
2016,12,Guerrero,403502242
2016,13,Hidalgo,3135728557
2016,14,Jalisco,1.66685E+11
2016,15,Estado de México,80653068950
2016,16,Michoacán de Ocampo,10078606582
2016,17,Morelos,3421401085
2016,18,Nayarit,198844200
2016,19,Nuevo León,1.94853E+11
2016,20,Oaxaca,214168322
2016,21,Puebla,50541423072
2016,22,Querétaro,56718470232
2016,23,Quintana Roo,1639573976
2016,24,San Luis Potosí,28943086802
2016,25,Sinaloa,10598761443
2016,26,Sonora,52477215893
2016,27,Tabasco,617855611
2016,28,Tamaulipas,1.27873E+11
2016,29,Tlaxcala,2669474689
2016,30,Veracruz de Ignacio de la Llave,7925144362
2016,31,Yucatán,7248019872
2016,32,Zacatecas,2933058656
2016,33,No Informado,445277229
2017,1,Aguascalientes,23308347062
2017,2,Baja California,2.1295E+11
2017,3,Baja California Sur,827644683
2017,4,Campeche,490837935
2017,5,Coahuila de Zaragoza,86469421700
2017,6,Colima,667923441
2017,7,Chiapas,523377757
2017,8,Chihuahua,2.80705E+11
2017,9,Ciudad de México,6.72956E+11
2017,10,Durango,6820410009
2017,11,Guanajuato,64032992759
2017,12,Guerrero,269943781
2017,13,Hidalgo,3517852416
2017,14,Jalisco,1.66226E+11
2017,15,Estado de México,86583603476
2017,16,Michoacán de Ocampo,12505507935
2017,17,Morelos,3734342251
2017,18,Nayarit,319399965
2017,19,Nuevo León,2.13887E+11
2017,20,Oaxaca,168556442
2017,21,Puebla,74002484694
2017,22,Querétaro,63827126604
2017,23,Quintana Roo,1620274798
2017,24,San Luis Potosí,31937236416
2017,25,Sinaloa,10545968129
2017,26,Sonora,56869626526
2017,27,Tabasco,591230726
2017,28,Tamaulipas,1.35074E+11
2017,29,Tlaxcala,3136869189
2017,30,Veracruz de Ignacio de la Llave,9290822711
2017,31,Yucatán,6421909426
2017,32,Zacatecas,2696061077
2017,33,No Informado,175271890
2018,1,Aguascalientes,26186318367
2018,2,Baja California,2.23367E+11
2018,3,Baja California Sur,810603475
2018,4,Campeche,493597938
2018,5,Coahuila de Zaragoza,94410505183
2018,6,Colima,941515018
2018,7,Chiapas,577398177
2018,8,Chihuahua,3.14158E+11
2018,9,Ciudad de México,7.69025E+11
2018,10,Durango,6690715978
2018,11,Guanajuato,67063610116
2018,12,Guerrero,34903689
2018,13,Hidalgo,4410873541
2018,14,Jalisco,1.59319E+11
2018,15,Estado de México,95284903028
2018,16,Michoacán de Ocampo,12663667328
2018,17,Morelos,4229208078
2018,18,Nayarit,259130020
2018,19,Nuevo León,2.40746E+11
2018,20,Oaxaca,206979980
2018,21,Puebla,82286444132
2018,22,Querétaro,68481929938
2018,23,Quintana Roo,1705776362
2018,24,San Luis Potosí,36836286380
2018,25,Sinaloa,12537774766
2018,26,Sonora,59931367664
2018,27,Tabasco,813795144
2018,28,Tamaulipas,1.41963E+11
2018,29,Tlaxcala,3401948401
2018,30,Veracruz de Ignacio de la Llave,11421784229
2018,31,Yucatán,7171268866
2018,32,Zacatecas,2454016483
2018,33,No Informado,73050711
2019,1,Aguascalientes,29452371178
2019,2,Baja California,2.33024E+11
2019,3,Baja California Sur,836655761
2019,4,Campeche,575536011
2019,5,Coahuila de Zaragoza,88604650791
2019,6,Colima,852290094
2019,7,Chiapas,600333869
2019,8,Chihuahua,3.38862E+11
2019,9,Ciudad de México,7.30579E+11
2019,10,Durango,7546086150
2019,11,Guanajuato,65522619239
2019,12,Guerrero,27535701
2019,13,Hidalgo,4587531459
2019,14,Jalisco,1.62012E+11
2019,15,Estado de México,92809582492
2019,16,Michoacán de Ocampo,14694476788
2019,17,Morelos,4108203753
2019,18,Nayarit,331624601
2019,19,Nuevo León,2.4504E+11
2019,20,Oaxaca,287842832
2019,21,Puebla,83424475576
2019,22,Querétaro,72594321741
2019,23,Quintana Roo,1625722851
2019,24,San Luis Potosí,40553214977
2019,25,Sinaloa,12935000382
2019,26,Sonora,61438647256
2019,27,Tabasco,874344900
2019,28,Tamaulipas,1.4733E+11
2019,29,Tlaxcala,3330966863
2019,30,Veracruz de Ignacio de la Llave,10435296612
2019,31,Yucatán,7109103434
2019,32,Zacatecas,2357374922
2019,33,No Informado,76636127
2020,9,Ciudad de México," 564,129,920,634 "
2020,8,Chihuahua," 309,473,584,112 "
2020,2,Baja California," 226,222,782,468 "
2020,19,Nuevo León," 223,455,247,881 "
2020,14,Jalisco," 149,430,065,051 "
2020,28,Tamaulipas," 131,239,838,962 "
2020,15,Estado de México," 83,207,706,154 "
2020,5,Coahuila de Zaragoza," 72,006,411,437 "
2020,21,Puebla," 63,274,297,537 "
2020,11,Guanajuato," 63,156,605,435 "
2020,22,Querétaro," 61,066,881,427 "
2020,26,Sonora," 56,502,540,961 "
2020,24,San Luis Potosí," 37,339,284,960 "
2020,1,Aguascalientes," 23,658,098,128 "
2020,16,Michoacán de Ocampo," 13,692,090,343 "
2020,25,Sinaloa," 13,380,846,273 "
2020,30,Veracruz de Ignacio de la Llave," 8,853,272,358 "
